"","country","infection_per_100000"
"1","Austria",16.31
"2","Belgium",24.93
"3","Bulgaria",8.37
"4","Croatia",18.94
"5","Cyprus",51.83
"6","Czech Republic",16.62
"7","Denmark",3.18
"8","Estonia",2.74
"9","Finland",4.38
"10","France",48.13
"11","Germany",16.86
"12","Greece",17.23
"13","Hungary",25.3
"14","Iceland",NA
"15","Ireland",25.55
"16","Italy",73.81
"17","Latvia",4.7
"18","Lithuania",7.29
"19","Luxembourg",12.79
"20","Malta",63.4
"21","Netherlands",1.47
"22","Norway",1.98
"23","Poland",17.01
"24","Portugal",101.96
"25","Romania",35.77
"26","Slovakia",24.16
"27","Slovenia",13.96
"28","Spain",21.17
"29","Sweden",1.99
"30","United Kingdom",10.63
